CountryCodeID,CountryCode,CountryName,ProductID,ProductName,DataTypeID,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,ColourCode
230,EC,Ecuador,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,31.0,13.4,8.4,7.9,6.4,4.9,4.1,3.7,3.4,4.1,3.5,3.2,2.71,2.93,,,,,,,,,,,,,,,,,,
232,EG,Egypt,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,13.6,16.9,20.2,24.2,23.6,26.5,18.2,19.3,14.8,13.4,13.6,10.9,10.7,10.92,,,,,,,,,,,,,,,,,,
294,LS,El Salvador,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,4.3,15.8,2.8,2.3,1.9,1.9,2.1,2.8,3.7,3.9,3.6,3.4,2.90,,,,,,,,,,,,,,,,,,
235,EQ,Equatorial Guinea,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,EE,Eritrea,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,ET,Estonia,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.3,0.8,0.4,0.3,0.2,0.2,0.5,1.9,5.2,5.4,4.1,3.7,3.46,,,,,,,,,,,,,,,,,,
234,EP,Ethiopia,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,FJ,Fiji,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,FI,Finland,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.5,0.5,0.4,0.3,0.2,0.3,0.4,0.6,0.6,0.5,0.5,0.45,,,,,,,,,,,,,,,,,,
243,FR,France,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.2,4.8,4.2,3.5,3.0,2.7,2.9,4.2,4.3,4.3,4.52,4.88,,,,,,,,,,,,,,,,,,
239,FG,French Guiana,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,FP,French Polynesia,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,GO,Gabon,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,6.6,8.6,11.4,13.9,16.0,14.1,10.7,7.6,8.5,7.2,9.9,5.5,5.48,5.34,,,,,,,,,,,,,,,,,,
299,MB,Gambia,133262,Bank Nonperforming Loans to Total Gross Loans,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,GG,Georgia,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,,11.6,7.9,2.4,2.0,1.2,2.5,0.8,4.1,6.3,5.4,4.6,4.1,3.83,,,,,,,,,,,,,,,,,,
212,DE,Germany,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.6,5.0,5.2,4.9,4.0,3.4,2.7,2.9,3.3,3.2,3.0,2.57,2.61,,,,,,,,,,,,,,,,,,
249,GH,Ghana,133262,Bank Nonperforming Loans to Total Gross Loans,101,%,,,,,,,,,,,,,,,,,,,,,,,,11.9,19.6,22.7,18.3,16.3,13.0,7.9,6.4,7.7,16.2,17.6,14.1,14.98,15.35,,,,,,,,,,,,,,,,,,
