ProductID,ProductName,CountryCodeID,CountryName,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,ColourCode
133262,Bank Nonperforming Loans to Total Gross Loans,193,Chile,%,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,1.8,1.6,1.2,0.9,0.7,0.8,1.0,2.9,2.7,2.3,2.2,2.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,195,China,%,,,,,,,,,,,,,,,,,,,,,,,,22.4,29.8,26.0,20.4,13.2,8.6,7.1,6.2,2.4,1.6,1.1,1.0,1.0,1.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,202,Colombia,%,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.7,8.7,6.8,3.3,2.7,2.7,3.2,3.9,4.0,2.9,2.5,2.8,2.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,308,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,395,"Congo, Democratic Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,190,Congo-Brazzaville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,340,Costa Rica,%,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.4,3.2,1.7,2.0,1.4,1.4,1.2,1.5,2.1,1.9,1.8,1.7,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,192,C?te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133262,Bank Nonperforming Loans to Total Gross Loans,204,Croatia,%,,,,,,,,,,,,,,,,,,,,,,,,9.5,7.3,10.2,8.9,7.5,6.2,5.2,4.8,4.9,7.7,11.1,12.3,13.8,15.4,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxGGGGGGGGGGGGGCxxxxxxxxxxxxxxxxx
133262,Bank Nonperforming Loans to Total Gross Loans,206,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
